[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
5.1_angles.xlsx,LeftElbow,-0.37,0.31,1177.44,1222.34
5.1_angles.xlsx,RightElbow,-0.33,0.26,2143.91,2251.3
5.1_angles.xlsx,LeftHip,-0.15,0.15,2085.34,2044.34
5.1_angles.xlsx,RightHip,-0.18,0.13,1212.58,1714.37
5.1_angles.xlsx,LeftKnee,-0.3,0.64,777.18,2108.77
5.1_angles.xlsx,RightKnee,-0.52,0.51,1208.68,1614.79
5.1_angles.xlsx,LeftAnkle,-1.16,1.92,2550.03,3012.76
5.1_angles.xlsx,RightAnkle,-1.27,2.25,3149.44,1409.78
5.3_angles.xlsx,LeftShoulder,-0.15,0.28,2032.95,1066.89
5.3_angles.xlsx,RightShoulder,-0.18,0.1,1068.34,633.98
5.3_angles.xlsx,LeftElbow,-0.42,0.38,1960.32,465.46
5.3_angles.xlsx,RightElbow,-0.21,0.4,1398.11,1066.89
5.3_angles.xlsx,LeftHip,-0.2,0.12,1403.92,869.32
5.3_angles.xlsx,RightHip,-0.16,0.18,1065.44,330.36
5.3_angles.xlsx,LeftKnee,-0.46,0.97,2192.75,1466.39
5.3_angles.xlsx,RightKnee,-0.43,0.54,665.94,997.16
5.3_angles.xlsx,LeftAnkle,-2.67,2.31,2102.68,1294.97
5.3_angles.xlsx,RightAnkle,-1.83,2.78,2635.83,2672.15
5.4_angles.xlsx,LeftShoulder,-0.14,0.13,2489.99,672.89
5.4_angles.xlsx,RightShoulder,-0.18,0.13,2125.33,310.71
5.4_angles.xlsx,LeftElbow,-0.18,0.23,309.47,103.04
5.4_angles.xlsx,RightElbow,-0.34,0.34,304.53,1342.87
5.4_angles.xlsx,LeftHip,-0.18,0.16,712.45,307.0
5.4_angles.xlsx,RightHip,-0.15,0.16,1112.95,805.16
5.4_angles.xlsx,LeftKnee,-0.51,0.69,1807.65,1169.81
5.4_angles.xlsx,RightKnee,-0.68,0.46,504.78,1603.69
5.4_angles.xlsx,LeftAnkle,-2.23,2.54,1876.87,1839.79
5.4_angles.xlsx,RightAnkle,-3.01,1.69,304.53,1476.37
5.5_angles.xlsx,LeftShoulder,-0.11,0.15,1797.78,662.94
