[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
4.1_angles.xlsx,RightHip,-0.21,0.22,3647.17,72.11
4.1_angles.xlsx,LeftKnee,-0.29,0.35,3485.31,3721.07
4.1_angles.xlsx,RightKnee,-0.55,0.37,72.11,3636.62
4.1_angles.xlsx,LeftAnkle,-1.42,1.51,522.51,4949.11
4.1_angles.xlsx,RightAnkle,-1.97,1.86,3555.68,4445.93
4.2_angles.xlsx,LeftShoulder,-0.3,0.19,4349.43,3292.94
4.2_angles.xlsx,RightShoulder,-0.33,0.49,4311.7,3345.18
4.2_angles.xlsx,LeftElbow,-0.32,0.28,5620.71,5577.17
4.2_angles.xlsx,RightElbow,-0.18,0.17,4146.26,3516.43
4.2_angles.xlsx,LeftHip,-0.18,0.13,2079.72,1815.59
4.2_angles.xlsx,RightHip,-0.18,0.14,869.39,3353.89
4.2_angles.xlsx,LeftKnee,-0.19,0.15,3481.6,883.91
4.2_angles.xlsx,RightKnee,-0.18,0.17,3916.97,3284.23
4.2_angles.xlsx,LeftAnkle,-1.52,1.57,4485.85,4546.8
4.2_angles.xlsx,RightAnkle,-1.36,1.2,4085.31,3211.67
4.3_angles.xlsx,LeftShoulder,-0.24,0.3,3231.51,2201.63
4.3_angles.xlsx,RightShoulder,-0.27,0.19,2134.86,3182.72
4.3_angles.xlsx,LeftElbow,-0.34,0.27,2920.75,1433.71
4.3_angles.xlsx,RightElbow,-0.36,0.26,2633.1,2145.13
4.3_angles.xlsx,LeftHip,-0.4,0.18,2435.35,3139.06
4.3_angles.xlsx,RightHip,-0.27,0.22,3532.0,1934.53
4.3_angles.xlsx,LeftKnee,-0.4,0.67,3128.78,2435.35
4.3_angles.xlsx,RightKnee,-0.49,0.55,1931.96,3529.43
4.3_angles.xlsx,LeftAnkle,-1.22,1.03,1603.22,4700.57
4.3_angles.xlsx,RightAnkle,-1.07,1.19,200.94,136.73
4.4_angles.xlsx,LeftShoulder,-0.26,0.28,2980.27,3949.13
4.4_angles.xlsx,RightShoulder,-0.23,0.31,3146.88,2714.91
4.4_angles.xlsx,LeftElbow,-0.25,0.1,2616.17,2653.2
4.4_angles.xlsx,RightElbow,-0.11,0.08,4081.8,4516.87
4.4_angles.xlsx,LeftHip,-0.3,0.12,4751.37,2714.91
4.4_angles.xlsx,RightHip,-0.39,0.28,4748.28,2717.99
4.4_angles.xlsx,LeftKnee,-0.44,0.59,4047.86,3211.68
4.4_angles.xlsx,RightKnee,-0.47,0.56,2714.91,4745.2
4.4_angles.xlsx,LeftAnkle,-1.07,1.29,1517.72,4751.37
